student_id,weak_kcs,n_weak,weakest_5,related_kcs
user10053,Distance Between Points;geometry,2,geometry;Distance Between Points;Polygon Area;flows;Line Intersection,math
user10056,,0,geometry;Distance Between Points;graphs;hashing;dp,
user10057,,0,geometry;graphs;Distance Between Points;dp;Prefix Sum,
user10058,graphs,1,graphs;graph matchings;Topological Sort;Tree DFS;Priority Queue,
user10059,,0,flows;divide and conquer;Strongly Connected Components;graphs;geometry,
user1006,,0,Priority Queue;Connected Components;dp;graphs;Simulation,
user10060,flows;graphs,2,graphs;flows;shortest paths;graph matchings;divide and conquer,shortest paths
user10061,graphs;shortest paths,2,shortest paths;graphs;flows;Graph Representation;BFS,
user10062,graphs,1,graphs;data structures;Topological Sort;divide and conquer;Hash Map,
user10066,graphs;shortest paths,2,shortest paths;graphs;geometry;Polygon Area;Hash Map,
user10069,,0,geometry;graphs;Connected Components;two pointers;trees,
user1007,,0,shortest paths;graphs;Tree DFS;Topological Sort;Stack,
user10070,,0,graphs;geometry;shortest paths;divide and conquer;Tree DFS,
user10071,graphs,1,graphs;geometry;flows;Polygon Area;data structures,
user10072,shortest paths,1,shortest paths;flows;graphs;geometry;trees,graphs
user10073,flows;graphs;shortest paths,3,graphs;flows;shortest paths;Max Flow;Tree DFS,
user10074,flows;geometry;shortest paths,3,flows;shortest paths;geometry;Polygon Area;graphs,graphs
user10076,,0,Polygon Area;graphs;geometry;Hash Map;data structures,
user10077,flows,1,flows;Min Cut;Orientation Test;graph matchings;2-sat,graphs;shortest paths
user10078,Connected Components;Max Flow;flows;graphs;trees,5,flows;Max Flow;graphs;Connected Components;trees,BFS;DFS;Priority Queue;data structures;shortest paths
user1008,,0,geometry;shortest paths;graphs;Graph Representation;BFS,
user10080,,0,geometry;graphs;trees;shortest paths;Tree DFS,
user10081,shortest paths,1,shortest paths;Graph Representation;BFS;geometry;graphs,graphs
user10082,,0,graphs;Hash Map;geometry;data structures;dp,
user10083,,0,graphs;dp;trees;data structures;implementation,
user10084,graphs;trees,2,graphs;trees;Bipartite Graph Check;two pointers;data structures,data structures
user10085,,0,graphs;flows;shortest paths;Topological Sort;Cycle Detection,
user10086,Max Flow;flows;geometry;graph matchings,4,geometry;graph matchings;Max Flow;flows;Orientation Test,Priority Queue;graphs;shortest paths
user10087,geometry,1,geometry;flows;graphs;Bipartite Graph Check;DFS,
user10088,,0,flows;Polygon Area;Topological Sort;graphs;geometry,
user1009,graphs,1,graphs;Topological Sort;shortest paths;divide and conquer;trees,
user10090,graph matchings,1,graph matchings;Max Flow;flows;Strongly Connected Components;Bipartite Graph Check,
user10093,graphs,1,graphs;geometry;DFS;Connected Components;Bipartite Graph Check,
user10094,,0,Polygon Area;geometry;Tree DFS;graphs;shortest paths,
user10096,,0,geometry;Distance Between Points;graphs;Bipartite Graph Check;dp,
user10097,,0,graphs;geometry;data structures;Hash Map;two pointers,
user10098,,0,graphs;data structures;trees;dp;two pointers,
user10099,graphs;shortest paths,2,shortest paths;graphs;Floyd-Warshall;BFS;geometry,
user101,geometry,1,geometry;graph matchings;flows;Polygon Area;graphs,
user1010,,0,graphs;Tree DFS;trees;Tree DP;dp,
user10100,,0,geometry;data structures;graphs;Priority Queue;dp,
user10101,,0,geometry;graphs;data structures;Bitmask Enumeration;Hash Map,
user10102,,0,graphs;dsu;hashing;data structures;matrices,
user10103,flows,1,flows;Max Flow;graphs;graph matchings;geometry,graphs;shortest paths
user10104,,0,Bitmask Enumeration;sortings;Greedy Sorting;bitmasks;math,
user10105,,0,graphs;shortest paths;Tree DFS;DFS;flows,
user10106,,0,geometry;Hash Map;data structures;Prefix Sum;dp,
user10107,,0,graphs;Tree DFS;trees;flows;Hash Map,
user10108,,0,graph matchings;graphs;flows;2-sat;Topological Sort,
user1011,,0,Polygon Area;geometry;data structures;Distance Between Points;graphs,
user10110,,0,graphs;shortest paths;Monotonic Queue;Bipartite Graph Check;DFS,
user10111,,0,graphs;divide and conquer;shortest paths;dp;trees,
user10112,graphs;trees,2,trees;graphs;geometry;2-sat;Strongly Connected Components,data structures
user10113,graphs,1,graphs;Brute Force Enumeration;data structures;brute force;trees,
user10115,divide and conquer;graphs;trees,3,graphs;trees;divide and conquer;geometry;data structures,data structures;dp
user10116,geometry;graphs,2,geometry;graphs;Distance Between Points;trees;Polygon Area,
user10119,,0,Tree DP;graphs;2D DP;hashing;trees,
user1012,,0,data structures;geometry;Polygon Area;dp;Connected Components,
user10120,Priority Queue;divide and conquer;graphs,3,graphs;Priority Queue;divide and conquer;Tree DFS;trees,Queue;Stack;dp
user10121,,0,graphs;DFS;Graph Representation;Connected Components;Tree DFS,
user10122,,0,geometry;Prefix Sum;dp;Brute Force Enumeration;1D DP,
user10123,geometry,1,geometry;Polygon Area;graphs;hashing;dp,
user10125,,0,geometry;DFS;Tree DFS;Connected Components;graphs,
user10126,graphs,1,graphs;trees;dp;Tree DP;Hash Map,
user1013,geometry,1,geometry;Polygon Area;divide and conquer;graphs;Connected Components,
user10130,graphs,1,graphs;Polygon Area;Topological Sort;trees;Graph Representation,
user10131,flows;geometry,2,geometry;flows;Polygon Area;Max Flow;graph matchings,graphs;shortest paths
user10133,graphs,1,graphs;geometry;Brute Force Enumeration;dp;Distance Between Points,
user10134,,0,geometry;Bipartite Graph Check;graphs;trees;Connected Components,
user10135,,0,geometry;graphs;Polygon Area;Tree DFS;Graph Representation,
user10138,flows,1,flows;geometry;Topological Sort;graphs;shortest paths,graphs;shortest paths
user10139,graphs;shortest paths,2,shortest paths;graphs;trees;Bipartite Graph Check;geometry,
user1014,,0,geometry;flows;Shortest Path in DAG;Hash Map;fft,
user10140,flows;graphs,2,graphs;flows;geometry;Line Intersection;BFS,shortest paths
user10141,,0,dp;brute force;Brute Force Enumeration;Binary Search on Array;implementation,
user10143,,0,geometry;graphs;dp;Hash Map;data structures,
user10145,flows;geometry;graph matchings,3,geometry;flows;graph matchings;Distance Between Points;graphs,graphs;shortest paths
user10146,graphs,1,graphs;flows;Connected Components;DFS;Bipartite Graph Check,
user10147,graphs;shortest paths,2,graphs;shortest paths;trees;Hash Map;divide and conquer,
user10149,geometry,1,geometry;flows;Max Flow;Priority Queue;graphs,
user10150,graphs;shortest paths;trees,3,shortest paths;graphs;trees;flows;Orientation Test,data structures
user10151,,0,graphs;geometry;shortest paths;Bipartite Graph Check;Connected Components,
user10153,flows;graphs,2,graphs;flows;geometry;Distance Between Points;Max Flow,shortest paths
user10155,divide and conquer;flows;graphs;shortest paths;trees,5,divide and conquer;graphs;trees;shortest paths;flows,data structures;dp
user10157,,0,graphs;data structures;dp;Hash Map;geometry,
user10158,,0,Line Intersection;2-sat;geometry;Bipartite Graph Check;graphs,
user10159,flows;graphs;shortest paths,3,graphs;flows;shortest paths;DFS;Max Flow,
user1016,geometry,1,geometry;graphs;Distance Between Points;shortest paths;DFS,
user10160,,0,data structures;geometry;ternary search;dp;Brute Force Enumeration,
user10164,,0,shortest paths;graphs;trees;Tree DFS;data structures,
user10165,graphs;shortest paths,2,shortest paths;graphs;divide and conquer;Graph Representation;geometry,
user10166,geometry,1,geometry;Polygon Area;flows;graphs;Connected Components,
user10168,,0,graphs;shortest paths;Tree DFS;Binary Lifting;trees,
user1017,graphs,1,graphs;geometry;dp;Hash Map;Priority Queue,
user10172,,0,graphs;graph matchings;DFS;Tree DFS;trees,
user10173,graphs,1,graphs;flows;divide and conquer;shortest paths;graph matchings,
user10174,,0,data structures;Stack;geometry;dp;two pointers,
user10175,,0,geometry;graphs;dp;Hash Map;divide and conquer,
user10176,geometry,1,geometry;flows;graphs;Distance Between Points;divide and conquer,
user10177,,0,graphs;trees;2D DP;Brute Force Enumeration;Knapsack,
user10178,geometry,1,geometry;Polygon Area;divide and conquer;flows;shortest paths,
user1018,,0,flows;graphs;DFS;Hash Map;dp,
user10181,DFS;trees,2,trees;DFS;geometry;Polygon Area;divide and conquer,Graph Representation;data structures;graphs
user10183,flows;graphs;shortest paths,3,shortest paths;graphs;flows;DFS;Graph Representation,
user10184,,0,geometry;Topological Sort;graphs;Simulation;bitmasks,
user10185,divide and conquer;geometry;graphs,3,divide and conquer;graphs;geometry;DFS;flows,dp
user10188,shortest paths,1,shortest paths;graphs;data structures;Graph Representation;dp,graphs
user10189,,0,graphs;data structures;Topological Sort;DP on DAG;dp,
user10190,geometry,1,geometry;shortest paths;graphs;DFS;Shortest Path in DAG,
user10191,,0,geometry;data structures;two pointers;graphs;brute force,
user10193,flows;graphs,2,graphs;flows;Polygon Area;geometry;shortest paths,shortest paths
user10194,,0,graphs;geometry;Difference Array;data structures;dp,
user10195,,0,geometry;shortest paths;graphs;trees;Bipartite Graph Check,
user10196,Tree DFS;graphs;trees,3,graphs;trees;Tree DFS;data structures;divide and conquer,DFS;data structures
user10197,,0,Tree DFS;Tree DP;graphs;Simulation;hashing,
user10198,flows;graphs;trees,3,flows;trees;graphs;shortest paths;geometry,data structures;shortest paths
user102,,0,flows;DFS;graphs;Graph Representation;Connected Components,
user10200,,0,graphs;dsu;Connected Components;Interval DP;dp,
user10201,,0,graphs;Bipartite Graph Check;Connected Components;data structures;dp,
user10203,,0,shortest paths;graphs;data structures;geometry;dp,
user10204,,0,dp;1D DP;Simulation;brute force;Binary Search on Array,
user10205,,0,data structures;2D DP;two pointers;binary search;dp,
user10206,,0,2D DP;graphs;hashing;dp;fft,
user10208,divide and conquer;graphs,2,divide and conquer;graphs;trees;DFS;shortest paths,dp
user10209,,0,geometry;graphs;shortest paths;flows;Graph Representation,
user10210,,0,flows;Tree DFS;graphs;geometry;trees,
user10212,graphs;trees,2,trees;graphs;Priority Queue;shortest paths;divide and conquer,data structures
user10213,,0,graphs;trees;geometry;Hash Map;DFS,
user10215,,0,flows;graphs;shortest paths;Topological Sort;Polygon Area,
user10216,graphs,1,graphs;2-sat;geometry;divide and conquer;Bipartite Graph Check,
user10217,,0,geometry;Distance Between Points;graphs;shortest paths;Graph Representation,
user10218,,0,graphs;geometry;divide and conquer;dp;data structures,
user10219,,0,geometry;graph matchings;flows;graphs;Bipartite Graph Check,
user10221,,0,data structures;dp;two pointers;Binary Search on Array;binary search,
user10222,graphs,1,graphs;trees;Graph Representation;data structures;dp,
user10224,,0,graphs;shortest paths;Tree DFS;Dijkstra;Ordered Set,
user10225,,0,shortest paths;graphs;Dijkstra;Floyd-Warshall;data structures,
user10226,trees,1,trees;Tree DFS;graphs;geometry;Polygon Area,data structures;graphs
user10227,,0,geometry;flows;graphs;2-sat;Strongly Connected Components,
user10228,geometry,1,geometry;flows;graphs;trees;Tree DFS,
user10229,,0,Simulation;strings;dp;Divisors;implementation,
user1023,graphs,1,graphs;flows;graph matchings;2-sat;shortest paths,
user10230,flows;graphs;trees,3,graphs;flows;trees;Tree DFS;data structures,data structures;shortest paths
user10232,flows;graphs;shortest paths,3,shortest paths;graphs;flows;geometry;trees,
user10234,Max Flow;flows;graph matchings,3,flows;graph matchings;Max Flow;DFS;graphs,Priority Queue;graphs;shortest paths
user10235,graphs,1,graphs;Bipartite Graph Check;DFS;trees;geometry,
user10238,,0,data structures;Hash Map;Simulation;two pointers;ternary search,
user10239,,0,flows;graphs;shortest paths;Bipartite Graph Check;trees,
user1024,shortest paths,1,shortest paths;geometry;2-sat;flows;graphs,graphs
user10240,geometry,1,geometry;Line Intersection;divide and conquer;Priority Queue;Interval DP,
user10241,graphs,1,graphs;geometry;dp;Hash Map;Priority Queue,
user10242,,0,graphs;geometry;DFS;Connected Components;dp,
user10245,flows;geometry,2,geometry;flows;2-sat;DFS;Distance Between Points,graphs;shortest paths
user10246,,0,geometry;dsu;graphs;Distance Between Points;trees,
user10248,,0,data structures;two pointers;graphs;Hash Map;dp,
user1025,,0,graphs;divide and conquer;Strongly Connected Components;Topological Sort;bitmasks,
user10250,,0,geometry;Tree DFS;graphs;trees;Bipartite Graph Check,
user10251,,0,geometry;graphs;ternary search;dp;data structures,
user10252,flows;graphs;shortest paths,3,graphs;flows;shortest paths;2-sat;Strongly Connected Components,
user10253,,0,geometry;graphs;dp;Hash Map;Priority Queue,
user10254,graphs;shortest paths;trees,3,graphs;trees;shortest paths;dsu;Graph Representation,data structures
user10256,,0,geometry;graphs;shortest paths;flows;DFS,
user10257,Graph Representation;graphs,2,graphs;Graph Representation;flows;graph matchings;BFS,
user10259,graphs;trees,2,graphs;trees;Polygon Area;shortest paths;geometry,data structures
user1026,,0,Polygon Area;data structures;geometry;dp;Brute Force Enumeration,
user10260,,0,flows;2-sat;graphs;geometry;graph matchings,
user10261,,0,geometry;2-sat;Strongly Connected Components;graphs;Topological Sort,
user10262,,0,graphs;shortest paths;Bipartite Graph Check;geometry;Graph Representation,
user10264,flows;graphs;shortest paths,3,shortest paths;graphs;flows;trees;Graph Representation,
user10265,,0,graphs;DFS;geometry;Connected Components;dsu,
user10267,flows;graphs,2,graphs;flows;Graph Representation;DFS;Connected Components,shortest paths
user10269,,0,graphs;trees;divide and conquer;DFS;Hash Map,
user1027,trees,1,trees;Graph Representation;graphs;Tree DFS;Connected Components,data structures;graphs
user10270,,0,geometry;graphs;trees;BFS;shortest paths,
user10271,,0,geometry;Distance Between Points;graphs;shortest paths;Connected Components,
user10272,divide and conquer;flows;graphs;shortest paths,4,shortest paths;flows;graphs;divide and conquer;trees,dp
user10273,,0,graphs;shortest paths;flows;Lowest Common Ancestor;Connected Components,
user10274,,0,DFS;flows;Graph Representation;graphs;geometry,
user10275,shortest paths,1,shortest paths;graphs;trees;flows;Connected Components,graphs
user10277,,0,dp;Sliding Window;Divisors;1D DP;sortings,
user10278,,0,geometry;shortest paths;data structures;graphs;Hash Map,
user10279,,0,flows;Hash Map;Priority Queue;data structures;dp,
user10280,,0,flows;graphs;geometry;Monotonic Stack;dp,
user10281,Tree DFS;graphs;trees,3,graphs;trees;Tree DFS;shortest paths;Connected Components,DFS;data structures
user10282,Connected Components;graphs,2,graphs;Connected Components;geometry;Interval DP;Hash Map,BFS;DFS
user10283,,0,graphs;geometry;Priority Queue;data structures;two pointers,
user10284,,0,divide and conquer;Graph Representation;Hash Map;graphs;Stack,
user10285,graphs,1,graphs;flows;Topological Sort;graph matchings;2-sat,
user10286,,0,graphs;Hash Map;dp;State Simulation;data structures,
user10287,,0,geometry;shortest paths;graphs;Connected Components;Interval DP,
user10288,,0,dp;DFS;Connected Components;graphs;trees,
user10289,,0,Bipartite Graph Check;Connected Components;graphs;String Hashing;hashing,
user1029,,0,Polygon Area;DFS;graphs;Connected Components;geometry,
user10290,graphs,1,graphs;geometry;Priority Queue;divide and conquer;Connected Components,
user10295,graphs,1,graphs;flows;Polygon Area;Topological Sort;shortest paths,
user10298,graphs;shortest paths,2,shortest paths;graphs;flows;Connected Components;Graph Representation,
user10299,graphs;trees,2,graphs;trees;DFS;Binary Lifting;flows,data structures
user1030,flows;graph matchings;shortest paths,3,flows;graph matchings;shortest paths;Polygon Area;Strongly Connected Components,graphs
user10300,graphs,1,graphs;shortest paths;Cycle Detection;DFS;Topological Sort,
user10301,divide and conquer,1,divide and conquer;geometry;Polygon Area;graphs;Priority Queue,dp;graphs
user10302,,0,graphs;trees;dsu;data structures;Hash Map,
user10303,,0,Simulation;binary search;implementation;Binary Search on Array;strings,
user10305,,0,Brute Force Enumeration;ternary search;Simulation;constructive algorithms;strings,
user10306,,0,Simulation;strings;Recursion;Prime Sieve;greedy,
user10307,,0,Polygon Area;flows;Distance Between Points;graph matchings;Max Flow,
user10309,,0,graphs;data structures;geometry;Hash Map;Priority Queue,
user1031,,0,dp;Simulation;constructive algorithms;number theory;implementation,
user10311,,0,geometry;graphs;data structures;Hash Map;Priority Queue,
user10314,graphs,1,graphs;trees;Topological Sort;Graph Representation;DFS,
user10315,,0,graphs;data structures;2-sat;Strongly Connected Components;two pointers,
user10316,,0,Connected Components;graphs;Bipartite Graph Check;2D DP;dp,
user10317,,0,Polygon Area;flows;graphs;trees;Ordered Set,
user10319,divide and conquer,1,divide and conquer;Brute Force Enumeration;dp;bitmasks;data structures,dp;graphs
user1032,,0,geometry;Distance Between Points;dp;Bitmask Enumeration;binary search,
user10320,,0,shortest paths;geometry;graphs;Polygon Area;DFS,
user10321,,0,shortest paths;graphs;Distance Between Points;geometry;Ordered Set,
user10322,,0,Distance Between Points;graphs;Binary Search on Answer;strings;Simulation,
user10323,,0,graphs;geometry;Graph Representation;Polygon Area;dp,
user10324,,0,flows;shortest paths;graphs;Tree DFS;graph matchings,
user10328,graphs,1,graphs;trees;Graph Representation;geometry;Tree DFS,
user10331,,0,trees;flows;graphs;Topological Sort;Tree DP,
user10332,,0,Polygon Area;graphs;Tree DFS;geometry;data structures,
user10334,graphs;trees,2,graphs;trees;Topological Sort;Hash Map;geometry,data structures
user10335,,0,Connected Components;graphs;shortest paths;geometry;dsu,
user10336,,0,geometry;data structures;trees;dp;Brute Force Enumeration,
user10338,graphs;shortest paths;trees,3,graphs;trees;shortest paths;Tree DFS;data structures,data structures
user10339,,0,geometry;Stack;Binary Search on Answer;data structures;binary search,
user1034,geometry;shortest paths,2,geometry;shortest paths;graphs;Tree DFS;trees,graphs
user10340,geometry,1,geometry;Bipartite Graph Check;Distance Between Points;graphs;data structures,
user10341,,0,graph matchings;Interval DP;dsu;graphs;dp,
user10342,divide and conquer;graphs;shortest paths,3,divide and conquer;graphs;shortest paths;trees;flows,dp
user10343,,0,2D DP;dp;graphs;data structures;Coordinate Compression,
user10344,,0,geometry;dp;binary search;Coordinate Compression;implementation,
user10345,,0,geometry;graphs;shortest paths;Distance Between Points;Hash Map,
user10347,,0,flows;Max Flow;graph matchings;shortest paths;Bipartite Graph Check,
user10349,,0,graphs;Distance Between Points;geometry;dp;Priority Queue,
user1035,,0,graphs;shortest paths;Topological Sort;Graph Representation;DFS,
user10351,,0,shortest paths;geometry;trees;graphs;flows,
user10352,flows;graphs,2,flows;graphs;Topological Sort;shortest paths;graph matchings,shortest paths
user10353,flows,1,flows;graphs;Connected Components;divide and conquer;Meet-in-the-middle,graphs;shortest paths
user10354,DFS;graphs,2,graphs;DFS;flows;data structures;graph matchings,Graph Representation
user10355,,0,geometry;graph matchings;flows;graphs;Distance Between Points,
user10356,,0,graphs;data structures;dp;Graph Representation;ternary search,
user10357,,0,Line Intersection;geometry;Distance Between Points;graphs;shortest paths,
user10358,,0,graphs;flows;dp;1D DP;Simulation,
user10359,graphs;shortest paths,2,shortest paths;graphs;geometry;BFS;Strongly Connected Components,
user1036,,0,Binary Search on Answer;Brute Force Enumeration;binary search;Stack;constructive algorithms,
user10362,,0,Monotonic Stack;trees;graphs;divide and conquer;dp,
user10363,,0,Polygon Area;graphs;data structures;geometry;Priority Queue,
user10364,,0,geometry;graphs;Priority Queue;divide and conquer;data structures,
user10365,,0,graphs;Bipartite Graph Check;shortest paths;geometry;Cycle Detection,
user10366,,0,data structures;dp;Simulation;two pointers;1D DP,
user10367,,0,Priority Queue;data structures;graphs;2D DP;dp,
user10368,graphs;shortest paths,2,graphs;shortest paths;geometry;trees;Binary Lifting,
user10369,,0,graphs;Meet-in-the-middle;divide and conquer;trees;brute force,
user1037,graphs;shortest paths,2,graphs;shortest paths;geometry;flows;Max Flow,
user10371,graphs;trees,2,graphs;trees;data structures;dsu;dp,data structures
user10372,,0,graphs;trees;dp;Tree DP;brute force,
user10373,Tree DFS,1,Tree DFS;geometry;graphs;trees;Tree DP,DFS
user10375,,0,graphs;Tree DFS;dp;trees;Binary Search on Answer,
user10379,geometry,1,geometry;graph matchings;Distance Between Points;graphs;Interval DP,
user1038,,0,graphs;geometry;2-sat;trees;Strongly Connected Components,
user10381,graphs;shortest paths,2,graphs;shortest paths;graph matchings;flows;Connected Components,
user10382,flows;graphs,2,graphs;flows;shortest paths;DFS;Shortest Path in DAG,shortest paths
user10383,2-sat;Tree DFS;divide and conquer;graph matchings;graphs;trees,6,graphs;trees;divide and conquer;graph matchings;2-sat,DFS;Strongly Connected Components;data structures;dp
user10384,,0,Distance Between Points;shortest paths;graphs;Strongly Connected Components;Cycle Detection,
user10385,,0,flows;Max Flow;Tree DFS;Topological Sort;graphs,
user10387,,0,Polygon Area;Bipartite Graph Check;geometry;graphs;Topological Sort,
user10388,flows;graphs;trees,3,graphs;flows;trees;Binary Lifting;Max Flow,data structures;shortest paths
user10389,graphs;shortest paths,2,shortest paths;graphs;Tree DFS;BFS;Topological Sort,
user1039,,0,dp;two pointers;Bitmask Enumeration;1D DP;binary search,
user10390,geometry,1,geometry;trees;Tree Diameter;Polygon Area;Distance Between Points,
user10391,,0,geometry;graphs;dp;Binary Search on Answer;Prime Sieve,
user10392,,0,shortest paths;graphs;geometry;trees;BFS,
user10394,,0,graphs;dp;Binary Search on Answer;Graph Representation;two pointers,
user10395,,0,flows;Tree DFS;DFS;geometry;graphs,
user10396,,0,divide and conquer;bitmasks;Bitmask Enumeration;2D DP;two pointers,
user10397,graphs,1,graphs;geometry;flows;trees;Max Flow,
user10398,,0,DFS;Connected Components;geometry;trees;Tree DFS,
user10399,,0,Tree DFS;graphs;Hash Map;trees;hashing,
user104,graphs,1,graphs;geometry;Cycle Detection;data structures;dp,
user1040,,0,Polygon Area;shortest paths;Floyd-Warshall;divide and conquer;Graph Representation,
user10400,,0,Polygon Area;flows;BFS;shortest paths;graphs,
user10401,shortest paths,1,shortest paths;flows;geometry;graphs;Tree DFS,graphs
user10402,graphs,1,graphs;shortest paths;Polygon Area;Cycle Detection;geometry,
user10403,Connected Components;divide and conquer;flows;graphs;shortest paths;trees,6,graphs;shortest paths;divide and conquer;Connected Components;trees,BFS;DFS;data structures;dp
user10404,,0,geometry;Distance Between Points;trees;Polygon Area;graphs,
user10405,,0,Bipartite Graph Check;geometry;graphs;Priority Queue;Ordered Set,
user10408,,0,2-sat;graph matchings;Bipartite Graph Check;flows;graphs,
user10409,,0,graphs;trees;geometry;Polygon Area;dp,
user1041,,0,dp;1D DP;constructive algorithms;binary search;Binary Search on Array,
user10411,,0,Orientation Test;graph matchings;Bipartite Graph Check;Strongly Connected Components;Cycle Detection,
user10412,,0,geometry;flows;graphs;DFS;Bipartite Graph Check,
user10413,graphs,1,graphs;trees;geometry;dsu;dp,
user10414,,0,geometry;Polygon Area;graphs;Hash Map;dp,
user10415,,0,Polygon Area;geometry;graphs;Distance Between Points;data structures,
user10418,DFS;graphs,2,graphs;DFS;divide and conquer;Tree DFS;data structures,Graph Representation
user10419,divide and conquer;graphs;shortest paths,3,graphs;shortest paths;divide and conquer;Polygon Area;geometry,dp
user1042,divide and conquer;graphs,2,divide and conquer;graphs;shortest paths;geometry;Hash Map,dp
user10420,graphs,1,graphs;geometry;DFS;divide and conquer;Connected Components,
user10421,,0,geometry;graphs;trees;dsu;Brute Force Enumeration,
user10423,,0,data structures;hashing;dp;binary search;two pointers,
user10425,,0,graphs;dp;Hash Map;data structures;Simulation,
user10426,Strongly Connected Components;flows;geometry;graph matchings;graphs,5,flows;geometry;graphs;graph matchings;Strongly Connected Components,BFS;shortest paths
user10428,flows;geometry;graphs;shortest paths,4,geometry;graphs;shortest paths;flows;Distance Between Points,
user10429,graphs,1,graphs;trees;Tree DFS;Topological Sort;divide and conquer,
user1043,,0,geometry;graphs;trees;shortest paths;Strongly Connected Components,
user10430,,0,geometry;flows;graphs;shortest paths;Hash Map,
user10431,,0,geometry;graphs;Bipartite Graph Check;Tree Diameter;Strongly Connected Components,
user10432,,0,graphs;shortest paths;geometry;Tree DFS;trees,
user10433,,0,flows;Hash Map;graphs;Prefix Sum;data structures,
user10434,,0,geometry;data structures;dp;Distance Between Points;Prefix Sum,
user10435,,0,Brute Force Enumeration;dp;2D DP;Prefix Sum;implementation,
user10437,,0,Simulation;expression parsing;constructive algorithms;State Simulation;Divisors,
user10438,geometry,1,geometry;Polygon Area;graphs;trees;flows,
user10439,,0,graphs;Tree DFS;data structures;Binary Search on Answer;Brute Force Enumeration,
user1044,,0,flows;geometry;graphs;shortest paths;Connected Components,
user10440,,0,Cycle Detection;data structures;Brute Force Enumeration;dp;graphs,
user10441,graphs,1,graphs;geometry;divide and conquer;Topological Sort;shortest paths,
