id,concepts,rating,tags,,,,,,,,,
1037-G,,3200,"[""games""]",,,,,,,,,
1037-H,"[""Suffix Automaton""]",3200,"[""data structures"",""string suffix structures""]",,,,,,,,,
104-A,"[""Simulation""]",800,"[""implementation""]",,,,,,,,,
1040-A,,1000,"[""greedy""]",,,,,,,,,
1040-B,,1300,"[""dp"",""greedy"",""math""]",,,,,,,,,
1044-A,"[""Binary Search on Answer""]",1700,"[""binary search"",""two pointers""]",,,,,,,,,
1044-B,"[""Tree DFS""]",1900,"[""graphs"",""interactive"",""trees""]",,,,,,,,,
1044-C,"[""Distance Between Points""]",2100,"[""dp"",""geometry""]",,,,,,,,,
1044-D,,2400,"[""data structures"",""dsu""]",,,,,,,,,
1044-F,"[""Segment Tree""]",2700,"[""data structures""]",,,,,,,,,
1045-A,"[""Max Flow""]",2500,"[""data structures"",""flows"",""graph matchings"",""graphs"",""trees""]",,,,,,,,,
1045-B,,2400,"[""hashing"",""number theory""]",,,,,,,,,
1045-C,,2300,"[""graphs"",""trees""]",,,,,,,,,
1045-D,"[""Expected Value""]",2200,"[""math"",""probabilities"",""trees""]",,,,,,,,,
1045-E,,3200,"[""constructive algorithms"",""geometry""]",,,,,,,,,
1045-F,,3400,"[""geometry"",""math""]",,,,,,,,,
1045-G,,2200,"[""data structures""]",,,,,,,,,
1045-H,,2400,"[""math""]",,,,,,,,,
1045-I,,1600,"[""hashing"",""strings""]",,,,,,,,,
1045-J,,2600,"[""data structures"",""strings"",""trees""]",,,,,,,,,
105-A,"[""Simulation""]",1700,"[""implementation""]",,,,,,,,,
105-B,"[""Expected Value""]",1800,"[""brute force"",""probabilities""]",,,,,,,,,
105-C,,2200,"[""brute force"",""implementation"",""sortings""]",,,,,,,,,
105-D,,2700,"[""brute force"",""dsu"",""implementation""]",,,,,,,,,
105-E,"[""Brute Force Enumeration""]",2500,"[""brute force""]",,,,,,,,,
1051-A,,1200,"[""greedy"",""implementation"",""strings""]",,,,,,,,,
1051-C,,1500,"[""brute force"",""dp"",""greedy"",""implementation"",""math""]",,,,,,,,,
1051-D,"[""2D DP""]",1700,"[""bitmasks"",""dp""]",,,,,,,,,
1051-E,,2600,"[""binary search"",""data structures"",""dp"",""hashing"",""strings""]",,,,,,,,,
1051-F,"[""Dijkstra""]",2400,"[""graphs"",""shortest paths"",""trees""]",,,,,,,,,
1051-G,,2900,"[""data structures"",""dsu"",""greedy""]",,,,,,,,,
1060-A,,800,"[""brute force""]",,,,,,,,,
1060-B,,1100,"[""greedy""]",,,,,,,,,
1060-C,"[""Sliding Window""]",1600,"[""binary search"",""implementation"",""two pointers""]",,,,,,,,,
1060-D,,1900,"[""greedy"",""math""]",,,,,,,,,
1060-E,"[""Tree DP""]",2000,"[""dp"",""graphs"",""trees""]",,,,,,,,,
1060-G,"[""Segment Tree""]",3400,"[""data structures""]",,,,,,,,,
1061-A,,800,"[""greedy"",""implementation"",""math""]",,,,,,,,,
1061-B,"[""Custom Comparator Sorting""]",1400,"[""greedy"",""implementation"",""sortings""]",,,,,,,,,
1061-C,"[""1D DP""]",1700,"[""data structures"",""dp"",""implementation"",""math"",""number theory""]",,,,,,,,,
1061-D,"[""Priority Queue""]",2000,"[""data structures"",""greedy"",""implementation"",""sortings""]",,,,,,,,,
1061-E,"[""Max Flow""]",2600,"[""flows"",""graphs""]",,,,,,,,,
1061-F,"[""Expected Value""]",2400,"[""interactive"",""probabilities""]",,,,,,,,,
1071-E,"[""Binary Search on Answer""]",3500,"[""binary search"",""geometry""]",,,,,,,,,
1075-A,,800,"[""implementation"",""math""]",,,,,,,,,
1075-B,,1200,"[""implementation"",""sortings""]",,,,,,,,,
1078-E,"[""Simulation""]",3400,"[""constructive algorithms""]",,,,,,,,,
108-A,"[""Palindrome Detection""]",1000,"[""implementation"",""strings""]",,,,,,,,,
108-B,"[""Custom Comparator Sorting""]",1400,"[""math"",""sortings""]",,,,,,,,,
1080-A,,800,"[""math""]",,,,,,,,,
1080-B,,900,"[""math""]",,,,,,,,,
1080-C,"[""Simulation""]",1500,"[""implementation""]",,,,,,,,,
1080-D,,2000,"[""constructive algorithms"",""implementation"",""math""]",,,,,,,,,
1080-E,"[""Palindrome Detection""]",2400,"[""strings""]",,,,,,,,,
1080-F,"[""Segment Tree""]",2400,"[""data structures"",""interactive"",""sortings""]",,,,,,,,,
1084-A,"[""Brute Force Enumeration""]",1000,"[""brute force"",""implementation""]",,,,,,,,,
1084-B,,1200,"[""greedy"",""implementation""]",,,,,,,,,
1084-C,"[""1D DP""]",1500,"[""combinatorics"",""dp"",""implementation""]",,,,,,,,,
1085-A,"[""Simulation""]",800,"[""implementation"",""strings""]",,,,,,,,,
1085-B,,1100,"[""math""]",,,,,,,,,
1085-D,"[""Tree DFS""]",1700,"[""constructive algorithms"",""implementation"",""trees""]",,,,,,,,,
1085-E,,2300,"[""greedy"",""implementation"",""strings""]",,,,,,,,,
1085-G,"[""2D DP""]",2900,"[""combinatorics"",""data structures"",""dp""]",,,,,,,,,
1088-A,"[""Brute Force Enumeration""]",800,"[""brute force"",""constructive algorithms""]",,,,,,,,,
1088-B,"[""Custom Comparator Sorting""]",1000,"[""implementation"",""sortings""]",,,,,,,,,
1088-C,,1400,"[""constructive algorithms"",""greedy"",""math""]",,,,,,,,,
1088-D,"[""Bitmask Enumeration""]",2000,"[""bitmasks"",""constructive algorithms"",""implementation"",""interactive""]",,,,,,,,,
1088-E,"[""Tree DP""]",2400,"[""dp"",""greedy"",""math"",""trees""]",,,,,,,,,
1088-F,,2800,"[""data structures"",""trees""]",,,,,,,,,
109-B,"[""Expected Value""]",1900,"[""brute force"",""probabilities""]",,,,,,,,,
109-C,"[""Tree DP""]",1900,"[""dp"",""dsu"",""trees""]",,,,,,,,,
109-D,"[""Custom Comparator Sorting""]",2000,"[""constructive algorithms"",""sortings""]",,,,,,,,,
109-E,"[""Brute Force Enumeration""]",2700,"[""brute force"",""math""]",,,,,,,,,
1091-A,,800,"[""brute force"",""implementation"",""math""]",,,,,,,,,
1091-B,,1200,"[""brute force"",""constructive algorithms"",""greedy"",""implementation""]",,,,,,,,,
1091-D,"[""1D DP""]",1700,"[""combinatorics"",""dp"",""math""]",,,,,,,,,
1091-E,,2400,"[""binary search"",""data structures"",""graphs"",""greedy"",""implementation"",""math"",""sortings""]",,,,,,,,,
1091-F,,2600,"[""constructive algorithms"",""greedy""]",,,,,,,,,
1091-H,,3200,"[""games""]",,,,,,,,,
1095-A,"[""Simulation""]",800,"[""implementation""]",,,,,,,,,
1095-B,,900,"[""implementation""]",,,,,,,,,
1095-D,"[""Simulation""]",1600,"[""implementation""]",,,,,,,,,
1095-E,"[""Prefix Sum""]",1900,"[""implementation""]",,,,,,,,,
1095-F,,1900,"[""dsu"",""graphs"",""greedy""]",,,,,,,,,
1098-A,"[""Tree DFS""]",1600,"[""constructive algorithms"",""graphs"",""greedy"",""trees""]",,,,,,,,,
1098-B,"[""Brute Force Enumeration""]",2100,"[""brute force"",""constructive algorithms"",""greedy"",""math""]",,,,,,,,,
1098-D,,2800,"[""data structures""]",,,,,,,,,
1098-E,"[""Binary Search on Answer""]",3400,"[""binary search"",""implementation"",""math"",""number theory""]",,,,,,,,,
110-A,,800,"[""implementation""]",,,,,,,,,
1104-B,"[""Stack""]",1200,"[""data structures"",""implementation"",""math""]",,,,,,,,,
1105-A,"[""Brute Force Enumeration""]",1100,"[""brute force"",""implementation""]",,,,,,,,,
1105-B,,1100,"[""brute force"",""implementation"",""strings""]",,,,,,,,,
1105-C,"[""1D DP""]",1500,"[""combinatorics"",""dp"",""math""]",,,,,,,,,
1105-D,"[""BFS""]",1900,"[""graphs"",""implementation"",""shortest paths""]",,,,,,,,,
1105-E,"[""Bitmask DP""]",2200,"[""bitmasks"",""brute force"",""dp"",""meet-in-the-middle""]",,,,,,,,,
1108-A,,800,"[""implementation""]",,,,,,,,,
1108-B,"[""Prime Factorization""]",1100,"[""brute force"",""greedy"",""math"",""number theory""]",,,,,,,,,
1108-C,"[""Brute Force Enumeration""]",1300,"[""brute force"",""greedy"",""math""]",,,,,,,,,
1108-D,,1400,"[""constructive algorithms"",""dp"",""greedy""]",,,,,,,,,
1108-E1,"[""Prefix Sum""]",1800,"[""brute force"",""greedy"",""implementation""]",,,,,,,,,
1108-E2,"[""Segment Tree""]",2100,"[""data structures"",""implementation""]",,,,,,,,,
1108-F,,2100,"[""binary search"",""dsu"",""graphs"",""greedy""]",,,,,,,,,
1109-A,"[""Prefix Sum""]",1600,"[""dp"",""implementation""]",,,,,,,,,
1109-B,,1800,"[""constructive algorithms"",""hashing"",""strings""]",,,,,,,,,
1109-C,"[""Segment Tree""]",2800,"[""binary search"",""data structures"",""implementation""]",,,,,,,,,
1109-D,"[""Modular Combinations""]",2400,"[""brute force"",""combinatorics"",""dp"",""math"",""trees""]",,,,,,,,,
1109-E,"[""Lazy Segment Tree""]",2700,"[""data structures"",""number theory""]",,,,,,,,,
1109-F,"[""Segment Tree""]",3200,"[""data structures"",""trees""]",,,,,,,,,
111-B,"[""Prime Sieve""]",1900,"[""binary search"",""data structures"",""number theory""]",,,,,,,,,
111-C,"[""Bitmask DP""]",2100,"[""bitmasks"",""dp"",""dsu""]",,,,,,,,,
111-D,"[""2D DP""]",2300,"[""combinatorics"",""dp""]",,,,,,,,,
1110-A,,900,"[""math""]",,,,,,,,,
1110-B,"[""Custom Comparator Sorting""]",1400,"[""greedy"",""sortings""]",,,,,,,,,
1110-C,"[""GCD""]",1500,"[""constructive algorithms"",""math"",""number theory""]",,,,,,,,,
1110-D,"[""2D DP""]",2200,"[""dp""]",,,,,,,,,
1110-E,"[""Custom Comparator Sorting""]",2200,"[""constructive algorithms"",""math"",""sortings""]",,,,,,,,,
1110-F,"[""Segment Tree""]",2600,"[""data structures"",""trees""]",,,,,,,,,
1110-G,,3100,"[""constructive algorithms"",""games"",""trees""]",,,,,,,,,
1110-H,,3500,"[""dp"",""strings""]",,,,,,,,,
1111-A,,1000,"[""implementation"",""strings""]",,,,,,,,,
1111-B,"[""Prefix Sum""]",1700,"[""brute force"",""implementation"",""math""]",,,,,,,,,
1111-C,"[""Binary Search on Answer""]",1700,"[""binary search"",""brute force"",""divide and conquer"",""math""]",,,,,,,,,
1111-D,"[""Knapsack""]",2600,"[""combinatorics"",""dp"",""math""]",,,,,,,,,
1111-E,"[""Tree DP""]",2500,"[""data structures"",""dp"",""graphs"",""trees""]",,,,,,,,,
1118-A,,800,"[""math""]",,,,,,,,,
1118-B,"[""Prefix Sum""]",1200,"[""implementation""]",,,,,,,,,
1118-C,,1700,"[""constructive algorithms"",""implementation""]",,,,,,,,,
1118-D1,,1700,"[""brute force"",""greedy""]",,,,,,,,,
1118-D2,"[""Binary Search on Answer""]",1700,"[""binary search"",""greedy""]",,,,,,,,,
1118-F1,"[""Tree DFS""]",1800,"[""graphs"",""trees""]",,,,,,,,,
1118-F2,"[""Tree DP""]",2700,"[""combinatorics"",""dp"",""graphs"",""trees""]",,,,,,,,,
1119-A,,1100,"[""greedy"",""implementation""]",,,,,,,,,
1119-B,"[""Binary Search on Answer""]",1300,"[""binary search"",""flows"",""greedy"",""sortings""]",,,,,,,,,
1119-C,,1500,"[""constructive algorithms"",""greedy"",""implementation"",""math""]",,,,,,,,,
1119-D,"[""Binary Search on Answer""]",1800,"[""binary search"",""sortings""]",,,,,,,,,
1119-E,,1900,"[""brute force"",""dp"",""fft"",""greedy"",""ternary search""]",,,,,,,,,
1119-F,"[""Tree DP""]",3400,"[""data structures"",""dp"",""trees""]",,,,,,,,,
1119-H,,3200,"[""fft"",""math""]",,,,,,,,,
1121-B,"[""Brute Force Enumeration""]",1200,"[""brute force"",""implementation""]",,,,,,,,,
1129-A1,"[""Brute Force Enumeration""]",1700,"[""brute force"",""greedy""]",,,,,,,,,
1129-A2,"[""Brute Force Enumeration""]",1800,"[""brute force"",""greedy""]",,,,,,,,,
1129-C,"[""Suffix Array""]",2400,"[""binary search"",""data structures"",""dp"",""hashing"",""sortings"",""string suffix structures"",""strings""]",,,,,,,,,
1129-D,"[""1D DP""]",2900,"[""data structures"",""dp""]",,,,,,,,,
1129-E,"[""Binary Search on Answer""]",3100,"[""binary search"",""interactive"",""trees""]",,,,,,,,,
1138-A,"[""Sliding Window""]",900,"[""binary search"",""greedy"",""implementation""]",,,,,,,,,
1138-B,"[""Brute Force Enumeration""]",1800,"[""brute force"",""greedy"",""math"",""strings""]",,,,,,,,,
1139-A,,800,"[""implementation"",""strings""]",,,,,,,,,
1139-B,,1000,"[""greedy"",""implementation""]",,,,,,,,,
1139-C,,1500,"[""dsu"",""graphs"",""math"",""trees""]",,,,,,,,,
1139-D,"[""Expected Value""]",2300,"[""dp"",""math"",""number theory"",""probabilities""]",,,,,,,,,
1139-E,"[""Max Flow""]",2400,"[""flows"",""graph matchings"",""graphs""]",,,,,,,,,
1139-F,,2500,"[""data structures"",""divide and conquer""]",,,,,,,,,
114-A,,1000,"[""math""]",,,,,,,,,
114-B,"[""Bitmask Enumeration""]",1500,"[""bitmasks"",""brute force"",""graphs""]",,,,,,,,,
1142-A,"[""GCD""]",1700,"[""brute force"",""math""]",,,,,,,,,
1142-B,"[""Binary Lifting""]",2000,"[""data structures"",""dp"",""graphs"",""math"",""trees""]",,,,,,,,,
1142-C,,2400,"[""geometry""]",,,,,,,,,
1142-D,"[""1D DP""]",2800,"[""dp""]",,,,,,,,,
1142-E,,3200,"[""graphs"",""interactive""]",,,,,,,,,
1143-A,"[""Simulation""]",800,"[""implementation""]",,,,,,,,,
1143-B,"[""Prime Factorization""]",1200,"[""brute force"",""math"",""number theory""]",,,,,,,,,
1143-C,"[""Tree DFS""]",1400,"[""graphs"",""trees""]",,,,,,,,,
1146-A,,800,"[""implementation"",""strings""]",,,,,,,,,
1146-B,,1100,"[""implementation"",""strings""]",,,,,,,,,
1146-C,,1700,"[""bitmasks"",""graphs"",""interactive""]",,,,,,,,,
1146-D,,2100,"[""graphs"",""math"",""number theory""]",,,,,,,,,
1146-E,"[""Bitmask Enumeration""]",2400,"[""bitmasks"",""data structures"",""divide and conquer"",""implementation""]",,,,,,,,,
1146-F,"[""Tree DP""]",2500,"[""dp"",""trees""]",,,,,,,,,
1146-G,"[""Max Flow""]",2700,"[""dp"",""flows"",""graphs""]",,,,,,,,,
1146-H,,2900,"[""dp"",""geometry""]",,,,,,,,,
1152-A,,800,"[""greedy"",""implementation"",""math""]",,,,,,,,,
1152-B,,1300,"[""bitmasks"",""constructive algorithms"",""graphs"",""math""]",,,,,,,,,
1152-C,"[""GCD""]",1800,"[""brute force"",""math"",""number theory""]",,,,,,,,,
1152-D,"[""Tree DP""]",2100,"[""dp"",""greedy"",""trees""]",,,,,,,,,
1152-E,,2400,"[""constructive algorithms"",""graphs""]",,,,,,,,,
1152-F1,"[""Bitmask DP""]",2800,"[""bitmasks"",""dp"",""matrices""]",,,,,,,,,
1152-F2,"[""Bitmask DP""]",3000,"[""bitmasks"",""dp"",""matrices""]",,,,,,,,,
1153-A,"[""Brute Force Enumeration""]",1000,"[""brute force"",""math""]",,,,,,,,,
1153-B,,1200,"[""constructive algorithms"",""greedy""]",,,,,,,,,
1153-C,,1700,"[""greedy"",""strings""]",,,,,,,,,
1153-D,"[""Tree DP""]",1900,"[""binary search"",""dp"",""graphs"",""greedy"",""trees""]",,,,,,,,,
1153-E,"[""Binary Search on Answer""]",2200,"[""binary search"",""brute force"",""interactive""]",,,,,,,,,
1153-F,"[""Expected Value""]",2600,"[""combinatorics"",""dp"",""math"",""probabilities""]",,,,,,,,,
1156-A,,1400,"[""geometry""]",,,,,,,,,
1156-B,,1800,"[""graphs"",""greedy"",""implementation"",""sortings"",""strings""]",,,,,,,,,
1156-C,"[""Two Pointers on Sorted Array""]",2000,"[""binary search"",""greedy"",""sortings"",""ternary search"",""two pointers""]",,,,,,,,,
1156-D,,2200,"[""divide and conquer"",""dp"",""dsu"",""graphs"",""trees""]",,,,,,,,,
1156-E,"[""Two Pointers on Sorted Array""]",2200,"[""data structures"",""divide and conquer"",""dsu"",""two pointers""]",,,,,,,,,
1156-F,"[""Expected Value""]",2300,"[""dp"",""math"",""probabilities""]",,,,,,,,,
1156-G,,2700,"[""graphs"",""greedy"",""hashing"",""implementation""]",,,,,,,,,
1157-A,"[""Simulation""]",1100,"[""implementation""]",,,,,,,,,
1157-B,,1300,"[""greedy""]",,,,,,,,,
1157-C1,,1300,"[""greedy""]",,,,,,,,,
1157-C2,,1700,"[""greedy""]",,,,,,,,,
1157-E,"[""Priority Queue""]",1700,"[""binary search"",""data structures"",""greedy""]",,,,,,,,,
1157-F,,2000,"[""constructive algorithms"",""dp"",""greedy"",""two pointers""]",,,,,,,,,
1157-G,"[""Brute Force Enumeration""]",2200,"[""brute force"",""constructive algorithms""]",,,,,,,,,
1162-A,"[""Simulation""]",800,"[""implementation""]",,,,,,,,,
1162-B,"[""Brute Force Enumeration""]",1400,"[""brute force"",""greedy""]",,,,,,,,,
1166-A,,900,"[""combinatorics"",""greedy""]",,,,,,,,,
1166-C,"[""Binary Search on Answer""]",1500,"[""binary search"",""sortings"",""two pointers""]",,,,,,,,,
1166-D,"[""Brute Force Enumeration""]",2200,"[""binary search"",""brute force"",""greedy"",""math""]",,,,,,,,,
1166-E,"[""Brute Force Enumeration""]",2100,"[""bitmasks"",""brute force"",""constructive algorithms"",""math"",""number theory""]",,,,,,,,,
1166-F,,2400,"[""data structures"",""dsu"",""graphs"",""hashing""]",,,,,,,,,
1167-A,,800,"[""brute force"",""greedy"",""strings""]",,,,,,,,,
1167-B,,1400,"[""brute force"",""divide and conquer"",""interactive"",""math""]",,,,,,,,,
1167-C,,1400,"[""dsu"",""graphs""]",,,,,,,,,
1167-D,,1500,"[""constructive algorithms"",""greedy""]",,,,,,,,,
1167-E,"[""Two Pointers on Sorted Array""]",2100,"[""binary search"",""combinatorics"",""data structures"",""two pointers""]",,,,,,,,,
1167-F,,2300,"[""combinatorics"",""data structures"",""math"",""sortings""]",,,,,,,,,
1167-G,"[""Brute Force Enumeration""]",3100,"[""brute force"",""geometry""]",,,,,,,,,
1172-A,,1800,"[""greedy"",""implementation""]",,,,,,,,,
1172-B,"[""Tree DP""]",1900,"[""combinatorics"",""dp"",""graphs"",""trees""]",,,,,,,,,
1172-C2,"[""Expected Value""]",2600,"[""dp"",""probabilities""]",,,,,,,,,
1172-D,,2900,"[""constructive algorithms""]",,,,,,,,,
1172-E,,3300,"[""data structures""]",,,,,,,,,
1172-F,"[""Segment Tree""]",3300,"[""data structures""]",,,,,,,,,
1173-A,,800,"[""greedy""]",,,,,,,,,
1177-A,,1000,"[""implementation""]",,,,,,,,,
1177-B,"[""Binary Search on Answer""]",1800,"[""binary search"",""divide and conquer"",""implementation""]",,,,,,,,,
1182-A,"[""1D DP""]",1000,"[""dp"",""math""]",,,,,,,,,
1182-B,"[""DFS""]",1300,"[""graphs"",""implementation"",""strings""]",,,,,,,,,
1182-C,,1700,"[""data structures"",""greedy"",""strings""]",,,,,,,,,
1182-D,"[""Tree DFS""]",2400,"[""constructive algorithms"",""dp"",""graphs"",""hashing"",""implementation"",""trees""]",,,,,,,,,
1182-E,,2300,"[""dp"",""math"",""matrices"",""number theory""]",,,,,,,,,
1182-F,"[""Binary Search on Answer""]",2700,"[""binary search"",""data structures"",""number theory""]",,,,,,,,,
1183-A,,800,"[""implementation""]",,,,,,,,,
1183-B,,900,"[""math""]",,,,,,,,,
1183-C,"[""Binary Search on Answer""]",1400,"[""binary search"",""math""]",,,,,,,,,
1183-D,"[""Custom Comparator Sorting""]",1400,"[""greedy"",""sortings""]",,,,,,,,,
1183-E,"[""BFS""]",2000,"[""dp"",""graphs"",""implementation"",""shortest paths""]",,,,,,,,,
1183-F,"[""Brute Force Enumeration""]",2100,"[""brute force"",""math"",""sortings""]",,,,,,,,,
1183-G,"[""Custom Comparator Sorting""]",2000,"[""greedy"",""implementation"",""sortings""]",,,,,,,,,
1183-H,,1900,"[""dp"",""strings""]",,,,,,,,,
1186-A,,800,"[""implementation""]",,,,,,,,,
1186-C,,1800,"[""implementation"",""math""]",,,,,,,,,
1186-D,,1500,"[""constructive algorithms"",""greedy"",""math""]",,,,,,,,,
1186-E,,2500,"[""divide and conquer"",""implementation"",""math""]",,,,,,,,,
1186-F,"[""DFS""]",2400,"[""graphs"",""greedy"",""implementation""]",,,,,,,,,
119-A,"[""Simulation""]",800,"[""implementation""]",,,,,,,,,
119-B,"[""Custom Comparator Sorting""]",1900,"[""constructive algorithms"",""implementation"",""sortings""]",,,,,,,,,
119-C,"[""1D DP""]",2000,"[""dp""]",,,,,,,,,
119-D,"[""String Matching""]",2500,"[""hashing"",""strings""]",,,,,,,,,
119-E,,2400,"[""geometry""]",,,,,,,,,
1196-A,,800,"[""brute force"",""constructive algorithms"",""math""]",,,,,,,,,
1196-B,,1200,"[""constructive algorithms"",""math""]",,,,,,,,,
1196-C,,1500,"[""implementation""]",,,,,,,,,
1196-D1,"[""Simulation""]",1500,"[""implementation""]",,,,,,,,,
1196-D2,"[""Sliding Window""]",1600,"[""data structures"",""dp"",""implementation"",""two pointers""]",,,,,,,,,
1196-F,"[""Dijkstra""]",2200,"[""brute force"",""constructive algorithms"",""shortest paths"",""sortings""]",,,,,,,,,
1197-A,"[""Custom Comparator Sorting""]",900,"[""greedy"",""math"",""sortings""]",,,,,,,,,
1197-B,,1000,"[""greedy"",""implementation""]",,,,,,,,,
1197-C,"[""Custom Comparator Sorting""]",1400,"[""greedy"",""sortings""]",,,,,,,,,
1197-D,"[""1D DP""]",1900,"[""dp"",""greedy"",""math""]",,,,,,,,,
1197-E,"[""Dijkstra""]",2300,"[""binary search"",""combinatorics"",""data structures"",""dp"",""shortest paths"",""sortings""]",,,,,,,,,
1197-F,,2700,"[""dp"",""games"",""matrices""]",,,,,,,,,
