student_id,weak_kcs,n_weak,weakest_5,related_kcs
user10285,2D DP;DP on DAG;Topological Sort;Tree DFS;dp;graphs;interactive;trees,8,DP on DAG;Topological Sort;2D DP;trees;Tree DFS,1D DP;Connected Components;DFS;Recursion;Simulation;brute force;data structures
user10287,,0,geometry;graphs;Modular Combinations;Combinations;Connected Components,
user10307,Max Flow;geometry;graph matchings,3,graph matchings;geometry;Max Flow;Distance Between Points;Polygon Area,Priority Queue;graphs
user10314,DP on DAG;Topological Sort,2,DP on DAG;Topological Sort;Graph Representation;graphs;trees,Connected Components;DFS;dp
user10357,geometry,1,geometry;Line Intersection;Distance Between Points;Connected Components;2D DP,
user1037,Expected Value;Max Flow;combinatorics;flows;hashing;probabilities;shortest paths;string suffix structures,8,probabilities;Expected Value;string suffix structures;combinatorics;hashing,Hash Map;Priority Queue;binary search;graphs;math;sortings;strings
user10371,,0,trees;graphs;constructive algorithms;dsu;number theory,
user10373,Tree DFS,1,Tree DFS;geometry;interactive;trees;graphs,DFS
user10381,Dijkstra;shortest paths;string suffix structures,3,string suffix structures;Dijkstra;shortest paths;flows;graph matchings,Graph Representation;Priority Queue;binary search;graphs;sortings;strings
user10383,Graph Representation;Tree DFS;divide and conquer;dsu;games;graphs;trees,7,trees;divide and conquer;Tree DFS;dsu;graphs,DFS;Queue;Stack;combinatorics;data structures;dp;math
user10384,geometry,1,geometry;Distance Between Points;interactive;2D DP;Cycle Detection,
user10403,Binary Search on Array;Expected Value;Hash Map;Ordered Set;Tree Diameter;Two Pointers on Sorted Array;binary search;bitmasks;data structures;divide and conquer;dp;flows;graphs;probabilities;shortest paths;sortings;ternary search;trees;two pointers,19,probabilities;two pointers;Ordered Set;Hash Map;shortest paths,Binary Search on Answer;Recursion;Tree DFS;brute force;combinatorics;math
user10411,Binary Lifting;Bipartite Graph Check;Cycle Detection;DFS;Prefix Function;Suffix Array;graphs;string suffix structures,8,DFS;Prefix Function;graphs;string suffix structures;Binary Lifting,BFS;Graph Representation;Sparse Table;String Matching;Tree DFS;binary search;sortings;strings
user10421,,0,geometry;graphs;Binary Search on Array;Brute Force Enumeration;dsu,
user10423,,0,bitmasks;data structures;binary search;math;greedy,
user10426,flows;geometry,2,geometry;flows;graph matchings;Distance Between Points;Interval DP,graphs;shortest paths
user10428,Activity Selection,1,Activity Selection;ternary search;Two Pointers on Sorted Array;Interval Scheduling;geometry,sortings
user10442,,0,Strongly Connected Components;Topological Sort;2D DP;combinatorics;Prefix Sum,
user10464,Max Flow;flows,2,Max Flow;flows;Orientation Test;graph matchings;geometry,Priority Queue;graphs;shortest paths
user10468,DFS;Dijkstra;Hash Map;geometry;shortest paths;two pointers,6,two pointers;Dijkstra;Hash Map;geometry;DFS,Graph Representation;Priority Queue;data structures;graphs
user10484,Difference Array;Monotonic Stack;Priority Queue;Stack;geometry,5,Monotonic Stack;Priority Queue;Difference Array;geometry;Stack,Queue
user10493,Convex Hull;geometry;graph matchings,3,Convex Hull;geometry;graph matchings;Min Cut;Orientation Test,Distance Between Points;Orientation Test;sortings
user10504,2D DP;Distance Between Points;Max Flow;String Matching;flows;geometry;graph matchings;hashing;shortest paths;string suffix structures;strings,11,string suffix structures;hashing;String Matching;strings;graph matchings,1D DP;Hash Map;Priority Queue;binary search;data structures;graphs;math;sortings
user1051,Binary Search on Answer;flows;geometry,3,geometry;Binary Search on Answer;flows;Max Flow;Fenwick Tree,Binary Search on Array;graphs;shortest paths
user10512,Difference Array;Stack;dsu,3,dsu;Difference Array;Stack;Queue;Priority Queue,Queue
user10526,Tree DP;geometry;graph matchings;string suffix structures,4,string suffix structures;geometry;Tree DP;graph matchings;Polygon Area,Tree DFS;binary search;dp;sortings;strings
user10534,,0,Polygon Area;geometry;Interval DP;shortest paths;divide and conquer,
user10539,Min Cut;Prefix Function;fft,3,Min Cut;fft;Prefix Function;1D DP;Dijkstra,Max Flow;String Matching;dp
user10560,bitmasks,1,bitmasks;String Hashing;divide and conquer;dp;2D DP,brute force;math
user10563,Orientation Test;geometry;graph matchings,3,Orientation Test;graph matchings;geometry;Max Flow;flows,Distance Between Points
user10569,flows,1,flows;Max Flow;graphs;graph matchings;geometry,graphs;shortest paths
user10571,Conditional Probability;Expected Value;geometry;string suffix structures,4,geometry;Conditional Probability;Expected Value;string suffix structures;Polygon Area,binary search;combinatorics;sortings;strings
user10578,Graph Representation;graphs;hashing;trees,4,Graph Representation;trees;hashing;graphs;string suffix structures,Hash Map;data structures;strings
user10589,bitmasks,1,bitmasks;geometry;shortest paths;Dijkstra;Distance Between Points,brute force;math
user10604,Fast Exponentiation;Graph Representation;Ordered Set;data structures;graphs;trees,6,trees;Ordered Set;graphs;Graph Representation;data structures,math
user10608,Digit DP;Monotonic Stack;Tree DFS;binary search;data structures;dp;geometry;graphs;shortest paths;trees,10,trees;shortest paths;Digit DP;graphs;Tree DFS,1D DP;DFS;Recursion;Stack;brute force;sortings
user10624,Binary Lifting;Max Flow;Sparse Table;binary search;divide and conquer;flows;games;string suffix structures;strings;trees;two pointers,11,games;Max Flow;string suffix structures;Sparse Table;flows,Priority Queue;Tree DFS;combinatorics;data structures;dp;graphs;math;shortest paths;sortings
user10631,2-sat;Binary Lifting;Dijkstra;Sparse Table;Strongly Connected Components;Trie;graph matchings;hashing;strings,9,Trie;hashing;strings;Sparse Table;Dijkstra,BFS;Graph Representation;Hash Map;Priority Queue;String Matching;Tree DFS;data structures
user10632,,0,geometry;trees;flows;graphs;constructive algorithms,
user10639,,0,Max Flow;flows;divide and conquer;Cycle Detection;data structures,
user10641,Interval DP;geometry,2,geometry;Interval DP;Polygon Area;string suffix structures;hashing,2D DP
user10653,Suffix Automaton;hashing;string suffix structures,3,string suffix structures;Suffix Automaton;hashing;Combinations;String Matching,Hash Map;String Matching;Z Algorithm;binary search;sortings;strings
user1066,geometry,1,geometry;Distance Between Points;Knapsack;Shortest Path in DAG;shortest paths,
user10660,Recursion;Tree DFS;Tree DP;trees,4,trees;Tree DP;Tree DFS;Recursion;graphs,DFS;data structures;dp;graphs
user1067,Binary Lifting;Bipartite Graph Check;Graph Representation;Meet-in-the-middle;binary search;bitmasks;brute force;data structures;dp;games;graph matchings;graphs;greedy;math;number theory;string suffix structures;strings;trees,18,brute force;bitmasks;number theory;strings;trees,BFS;DFS;Recursion;Sparse Table;Tree DFS;combinatorics;implementation;sortings
user10682,divide and conquer;geometry,2,geometry;divide and conquer;shortest paths;dsu;Binary Search on Answer,dp;graphs
user10684,2-sat;Meet-in-the-middle;geometry;graph matchings;shortest paths;string suffix structures;ternary search,7,graph matchings;shortest paths;geometry;2-sat;ternary search,Binary Search on Answer;Strongly Connected Components;binary search;brute force;dp;graphs;sortings;strings
user10687,Digit DP;geometry,2,geometry;Digit DP;Edit Distance;Connected Components;string suffix structures,1D DP
user10688,Binary Search on Array;Bipartite Graph Check;Cycle Detection;Max Flow;flows;graph matchings;graphs,7,graphs;Max Flow;flows;graph matchings;Bipartite Graph Check,BFS;DFS;Priority Queue;shortest paths;sortings
user10693,DFS;Distance Between Points;GCD;Prime Sieve;Strongly Connected Components;brute force;geometry;graphs;number theory;shortest paths;trees;two pointers,12,brute force;geometry;Prime Sieve;two pointers;shortest paths,BFS;Graph Representation;data structures;implementation;math
user10694,String Matching;hashing,2,hashing;String Matching;geometry;LCM;Max Flow,Hash Map;data structures;strings
user10696,,0,geometry;divide and conquer;Hash Map;Connected Components;flows,
user10697,trees,1,trees;flows;dsu;graphs;data structures,data structures;graphs
user1070,geometry,1,geometry;Line Intersection;Binary Lifting;Tree DFS;Max Flow,
user10702,binary search;data structures;divide and conquer;hashing;string suffix structures;strings,6,string suffix structures;strings;hashing;binary search;divide and conquer,Hash Map;dp;graphs;sortings
user10706,,0,Binary Lifting;number theory;Line Intersection;graphs;geometry,
user1075,Max Flow;Orientation Test;fft;geometry,4,Orientation Test;fft;geometry;Max Flow;Polygon Area,Distance Between Points;Priority Queue;dp;graphs
user10753,Binary Search on Answer;Bitmask Enumeration;Coordinate Compression;Fenwick Tree;Ordered Set;Polygon Area;Priority Queue;geometry;hashing;strings;ternary search,11,Fenwick Tree;hashing;geometry;Polygon Area;Ordered Set,Binary Search on Array;Distance Between Points;Hash Map;Queue;Stack;data structures;math;sortings
user10767,,0,geometry;Distance Between Points;two pointers;bitmasks;sortings,
user1077,graph matchings,1,graph matchings;Line Intersection;flows;Binary Search on Answer;ternary search,
user1080,Expected Value;geometry;probabilities;string suffix structures,4,probabilities;string suffix structures;Expected Value;geometry;hashing,binary search;combinatorics;sortings;strings
user10805,Polygon Area;geometry,2,Polygon Area;geometry;Binary Search on Array;Max Flow;2D DP,Distance Between Points
user10806,brute force;constructive algorithms;graphs;implementation;interactive;shortest paths;sortings;trees;two pointers,9,shortest paths;trees;two pointers;interactive;graphs,Simulation;data structures;math
user10811,geometry;string suffix structures,2,geometry;string suffix structures;graph matchings;Interval DP;Distance Between Points,binary search;sortings;strings
user10819,,0,geometry;Max Flow;Distance Between Points;graph matchings;flows,
user1082,Convex Hull;Max Flow;geometry;graph matchings,4,geometry;Convex Hull;graph matchings;Max Flow;Line Intersection,Distance Between Points;Orientation Test;Priority Queue;graphs;sortings
user10845,Tree DP;flows;shortest paths,3,Tree DP;flows;shortest paths;Distance Between Points;Tree DFS,Tree DFS;dp;graphs
user10851,2D DP;Segment Tree;divide and conquer;ternary search;trees;two pointers,6,divide and conquer;2D DP;Segment Tree;ternary search;trees,1D DP;Binary Search on Answer;Recursion;data structures;dp;graphs
user10868,,0,Hash Map;data structures;binary search;dsu;strings,
user10870,Line Intersection;Modular Arithmetic,2,Line Intersection;Modular Arithmetic;Distance Between Points;graph matchings;Combinations,Distance Between Points;GCD;Orientation Test
user10881,,0,trees;dp;graphs;dsu;Simulation,
user1089,BFS;geometry;hashing;shortest paths;string suffix structures,5,BFS;geometry;string suffix structures;hashing;shortest paths,Graph Representation;Hash Map;binary search;graphs;sortings;strings
user10899,1D DP;2D DP;Binary Search on Answer;Binary Search on Array;Difference Array;Expected Value;Tree DFS;divide and conquer;geometry;graphs;probabilities;shortest paths;trees,13,probabilities;divide and conquer;Difference Array;shortest paths;Expected Value,DFS;Recursion;Stack;combinatorics;data structures;dp;sortings
user10902,Max Flow;Monotonic Stack;Simulation;State Simulation;graph matchings;interactive,6,interactive;State Simulation;Max Flow;Monotonic Stack;graph matchings,Priority Queue;Recursion;Stack;data structures;graphs
user10913,1D DP;Binary Search on Array;Hash Map;Permutations;Priority Queue;Tree DFS;binary search;combinatorics;data structures;divide and conquer;dp;shortest paths;trees;two pointers,14,divide and conquer;Permutations;data structures;two pointers;Binary Search on Array,DFS;Queue;Recursion;Stack;brute force;graphs;math;sortings
user10915,,0,geometry;Convex Hull;graph matchings;Distance Between Points;Interval DP,
user10919,2D DP;Binary Search on Answer;Fast Exponentiation;Max Flow;Prime Factorization;flows;geometry;number theory,8,geometry;Binary Search on Answer;flows;Max Flow;number theory,1D DP;Binary Search on Array;Prime Sieve;Priority Queue;graphs;math;shortest paths
user10922,geometry,1,geometry;Convex Hull;Max Flow;graph matchings;binary search,
user10946,graphs;interactive;shortest paths;trees,4,shortest paths;graphs;trees;interactive;divide and conquer,Simulation;data structures
user10947,,0,2D DP;Bitmask DP;Cycle Detection;Edit Distance;Binary Lifting,
user1095,2D DP;Binary Search on Array;divide and conquer;graphs;interactive;shortest paths;trees,7,shortest paths;trees;divide and conquer;graphs;2D DP,1D DP;Simulation;data structures;dp;sortings
user10955,Bitmask DP;Meet-in-the-middle;Prime Factorization;Prime Sieve;String Matching;graph matchings;hashing;string suffix structures;strings,9,Prime Factorization;Meet-in-the-middle;string suffix structures;hashing;Prime Sieve,1D DP;Hash Map;binary search;bitmasks;brute force;data structures;dp;math;sortings
user10961,geometry;graph matchings,2,geometry;graph matchings;Line Intersection;Distance Between Points;Max Flow,
user10982,Max Flow;geometry,2,geometry;Max Flow;Distance Between Points;Polygon Area;flows,Priority Queue;graphs
user10998,Max Flow;flows;geometry;shortest paths,4,Max Flow;shortest paths;flows;geometry;graphs,Priority Queue;graphs
user11003,Conditional Probability;Tree Diameter;probabilities,3,probabilities;Conditional Probability;Tree Diameter;flows;trees,Expected Value;Tree DFS;combinatorics
user11020,geometry;graph matchings,2,graph matchings;geometry;flows;Tree DFS;Tree DP,
user11030,Meet-in-the-middle;Polygon Area;shortest paths,3,Polygon Area;Meet-in-the-middle;shortest paths;Distance Between Points;geometry,Distance Between Points;brute force;dp;graphs
user11062,Binary Lifting;Distance Between Points;Tree DP;bitmasks;geometry,5,geometry;Binary Lifting;Distance Between Points;Tree DP;bitmasks,Sparse Table;Tree DFS;brute force;dp;math
user1108,binary search;two pointers,2,two pointers;binary search;flows;Binary Search on Array;data structures,data structures;sortings
user11089,DFS;graphs,2,DFS;graphs;Graph Representation;Dijkstra;shortest paths,Graph Representation
user11110,Segment Tree;string suffix structures,2,string suffix structures;Segment Tree;data structures;graphs;two pointers,Recursion;binary search;data structures;sortings;strings
user11137,Hash Map;trees,2,trees;Hash Map;binary search;graphs;data structures,data structures;graphs
user11138,,0,games;Ordered Set;ternary search;2D DP;Interval DP,
user11139,,0,Edit Distance;Max Flow;Longest Common Subsequence;matrices;Binary Search on Answer,
user11149,Backtracking;Bitmask Enumeration;Monotonic Stack;Segment Tree;Simulation;divide and conquer;interactive;two pointers,8,interactive;divide and conquer;Segment Tree;Monotonic Stack;Backtracking,Recursion;Stack;data structures;dp;graphs;math
user11153,Hash Map;Ordered Set;data structures;divide and conquer;dsu;two pointers,6,divide and conquer;Hash Map;two pointers;dsu;data structures,Queue;Stack;dp;graphs
user11154,,0,geometry;graph matchings;flows;2D DP;Knapsack,
user11164,Graph Representation,1,Graph Representation;Polygon Area;Ordered Set;hashing;geometry,
user1118,Min Cut;geometry,2,Min Cut;geometry;graph matchings;2-sat;Max Flow,Max Flow
user11185,2D DP;Combinations;chinese remainder theorem;geometry,4,geometry;chinese remainder theorem;Combinations;2D DP;Permutations,1D DP;Modular Arithmetic;Modular Inverse;math
user11188,geometry,1,geometry;Polygon Area;two pointers;games;Distance Between Points,
user11189,geometry;graph matchings,2,graph matchings;geometry;Polygon Area;Convex Hull;Orientation Test,
user11192,Hash Map,1,Hash Map;Fast Exponentiation;flows;geometry;Fenwick Tree,data structures
user11199,,0,hashing;Connected Components;string suffix structures;graphs;Greedy Sorting,
user112,,0,geometry;graph matchings;Interval DP;string suffix structures;2D DP,
user1120,,0,Binary Search on Answer;graphs;binary search;trees;dsu,
user11215,Fenwick Tree;Max Flow;flows;probabilities;shortest paths;string suffix structures,6,Fenwick Tree;probabilities;string suffix structures;shortest paths;Max Flow,Priority Queue;binary search;combinatorics;data structures;graphs;sortings;strings
user11218,,0,Orientation Test;geometry;Bipartite Graph Check;2D DP;Knapsack,
user11225,,0,geometry;flows;graphs;Hash Map;Priority Queue,
user1124,Lowest Common Ancestor;flows,2,flows;Lowest Common Ancestor;graph matchings;Binary Search on Answer;Convex Hull,Tree DFS;graphs;shortest paths
user11249,2-sat;Expected Value;KMP;probabilities;string suffix structures,5,string suffix structures;probabilities;KMP;2-sat;Expected Value,Prefix Function;String Matching;Strongly Connected Components;binary search;combinatorics;sortings;strings
user11250,geometry;graph matchings,2,graph matchings;geometry;Polygon Area;Max Flow;Tree DP,
user11253,hashing;string suffix structures,2,string suffix structures;hashing;graph matchings;flows;ternary search,Hash Map;binary search;sortings;strings
user11267,Convex Hull;Max Flow;geometry;graph matchings,4,geometry;Max Flow;Convex Hull;graph matchings;Min Cut,Distance Between Points;Orientation Test;Priority Queue;graphs;sortings
user11268,flows;graph matchings,2,graph matchings;flows;Interval DP;2D DP;shortest paths,graphs;shortest paths
user1128,Binary Lifting;Bitmask DP;Connected Components;Graph Representation;Line Intersection;Max Flow;String Matching;brute force;fft;flows;geometry;graph matchings;graphs;hashing;trees,15,geometry;flows;Line Intersection;Max Flow;Binary Lifting,1D DP;BFS;DFS;Distance Between Points;Hash Map;Orientation Test;Priority Queue;Sparse Table;Tree DFS;bitmasks;data structures;dp;implementation;math;shortest paths;strings
user11287,Min Cut;geometry;graph matchings,3,Min Cut;graph matchings;geometry;Line Intersection;Max Flow,Max Flow
user1129,geometry,1,geometry;Polygon Area;Distance Between Points;flows;Bipartite Graph Check,
user11301,,0,flows;2D DP;graphs;Tree DP;Dijkstra,
user11305,Distance Between Points;Fast Exponentiation;Interval DP;Knapsack;Line Intersection;Monotonic Stack;Ordered Set;Tree DFS;Tree Diameter;divide and conquer;dp;geometry;graphs;hashing;string suffix structures;strings;trees,17,string suffix structures;hashing;Interval DP;trees;Tree Diameter,2D DP;DFS;Hash Map;Orientation Test;Recursion;Stack;binary search;brute force;data structures;math;sortings
user11312,geometry,1,geometry;Orientation Test;Priority Queue;Distance Between Points;Sliding Window,
user11313,,0,Bitmask Enumeration;Interval DP;dsu;Difference Array;graphs,
user11319,Max Flow;Orientation Test;geometry;graph matchings,4,Orientation Test;graph matchings;geometry;Max Flow;flows,Distance Between Points;Priority Queue;graphs
user11338,geometry;graph matchings,2,graph matchings;geometry;Polygon Area;flows;Distance Between Points,
user1134,Tree DFS;flows,2,Tree DFS;flows;graph matchings;geometry;Dijkstra,DFS;graphs;shortest paths
user1136,,0,dsu;Fenwick Tree;graphs;trees;geometry,
user11371,,0,Sliding Window;two pointers;Stack;Connected Components;Dijkstra,
user11382,Distance Between Points;geometry,2,geometry;Distance Between Points;Min Cut;graph matchings;2-sat,math
user11397,geometry;graph matchings,2,geometry;graph matchings;ternary search;Monotonic Stack;2-sat,
user11411,divide and conquer;hashing;string suffix structures;two pointers,4,two pointers;divide and conquer;hashing;string suffix structures;Max Flow,Hash Map;binary search;data structures;dp;graphs;sortings;strings
user11418,Monotonic Queue;Orientation Test;geometry;graph matchings;shortest paths,5,Orientation Test;geometry;Monotonic Queue;graph matchings;shortest paths,Deque;Distance Between Points;Queue;graphs
user11423,graph matchings,1,graph matchings;geometry;flows;trees;Topological Sort,
user11427,1D DP;2D DP;Connected Components;Knapsack;Tree DFS;binary search;bitmasks;divide and conquer;graphs;trees,10,divide and conquer;graphs;bitmasks;1D DP;trees,BFS;DFS;Recursion;brute force;data structures;dp;math;sortings
user11446,data structures,1,data structures;binary search;two pointers;sortings;graphs,
user1145,Fenwick Tree,1,Fenwick Tree;Ordered Set;data structures;Monotonic Stack;graphs,data structures;sortings
user11469,Max Flow;Permutations;hashing;string suffix structures;two pointers,5,string suffix structures;hashing;Max Flow;two pointers;Permutations,Hash Map;Priority Queue;binary search;data structures;graphs;math;sortings;strings
user11476,Convex Hull;Distance Between Points;GCD;binary search;geometry;graphs;shortest paths,7,geometry;Distance Between Points;Convex Hull;GCD;shortest paths,Orientation Test;math;sortings
user11485,Max Flow;String Matching;geometry;graph matchings;string suffix structures,5,geometry;graph matchings;string suffix structures;Max Flow;String Matching,Priority Queue;binary search;data structures;graphs;sortings;strings
user11488,Convex Hull;String Matching;binary search;geometry;hashing;string suffix structures;strings,7,string suffix structures;hashing;strings;binary search;String Matching,Distance Between Points;Hash Map;Orientation Test;data structures;sortings
user1149,BFS,1,BFS;flows;Hash Map;Tree DP;graph matchings,Graph Representation
user11507,Hash Map;Prime Factorization,2,Hash Map;Prime Factorization;Priority Queue;Prime Sieve;binary search,Prime Sieve;data structures
user11510,string suffix structures;strings,2,strings;string suffix structures;Tree DFS;hashing;trees,binary search;data structures;sortings
user11523,geometry;graph matchings,2,graph matchings;geometry;Polygon Area;Max Flow;flows,
user11526,two pointers,1,two pointers;binary search;data structures;constructive algorithms;greedy,data structures
user11534,,0,graphs;Binary Search on Array;binary search;shortest paths;hashing,
user11536,Binary Search on Array;Multiset;Ordered Set;Segment Tree;binary search;data structures;divide and conquer;two pointers,8,Binary Search on Array;Segment Tree;two pointers;Ordered Set;binary search,Hash Map;Recursion;dp;graphs;sortings
user11552,Topological Sort;Tree DFS;bitmasks;flows;graphs;shortest paths;trees,7,shortest paths;graphs;Topological Sort;flows;bitmasks,Connected Components;DFS;brute force;data structures;math
user11574,trees,1,trees;flows;graph matchings;2D DP;dsu,data structures;graphs
user11589,,0,Knapsack;trees;Binary Search on Answer;graphs;Connected Components,
user11593,,0,geometry;Trie;2-sat;flows;Bitmask DP,
user11596,Line Intersection;flows,2,flows;Line Intersection;Orientation Test;geometry;Priority Queue,Distance Between Points;Orientation Test;graphs;shortest paths
user11598,,0,hashing;2D DP;Suffix Automaton;DFS;graphs,
user11601,Distance Between Points;geometry,2,geometry;Distance Between Points;Max Flow;graph matchings;Topological Sort,math
user11628,Bipartite Graph Check;Combinations;Connected Components;DFS;Divisors;Expected Value;Strongly Connected Components;Topological Sort;flows;geometry;graph matchings;probabilities,12,geometry;graph matchings;Topological Sort;Divisors;flows,BFS;GCD;Graph Representation;Prime Factorization;combinatorics;graphs;math;shortest paths
user11638,,0,math;constructive algorithms;greedy;data structures;Hash Map,
user11639,,0,graph matchings;Interval DP;divide and conquer;trees;dp,
user11642,,0,graphs;shortest paths;trees;Priority Queue;dsu,
user11646,Line Intersection;geometry,2,geometry;Line Intersection;Max Flow;graph matchings;Hash Map,Distance Between Points;Orientation Test
user1165,Backtracking;shortest paths,2,shortest paths;Backtracking;binary search;flows;ternary search,Recursion;graphs
user11661,Binary Search on Array;Ordered Set;geometry,3,geometry;Binary Search on Array;Ordered Set;Multiset;Two Pointers on Sorted Array,data structures;sortings
user11665,1D DP;2D DP;Hash Map;Interval DP;Prime Factorization;Prime Sieve;binary search;bitmasks;data structures;dp;geometry;number theory;two pointers,13,2D DP;geometry;Hash Map;1D DP;binary search,Recursion;brute force;math;sortings
user11673,Binary Search on Answer;geometry;graph matchings,3,geometry;graph matchings;Binary Search on Answer;Min Cut;Orientation Test,Binary Search on Array
user11684,geometry,1,geometry;Max Flow;Interval DP;string suffix structures;Ordered Set,
user11685,bitmasks;dp;dsu,3,bitmasks;dp;dsu;Bitmask Enumeration;Connected Components,Queue;Recursion;Stack;brute force;data structures;math
user11694,Monotonic Stack;Tree DP;data structures;dp;graphs;interactive;ternary search;trees,8,Tree DP;trees;data structures;graphs;dp,Binary Search on Answer;Recursion;Simulation;Stack;Tree DFS;brute force
user11703,,0,binary search;data structures;Tree DP;combinatorics;Modular Arithmetic,
user11706,Max Flow;flows;geometry,3,geometry;Max Flow;flows;Ordered Set;graphs,Priority Queue;graphs;shortest paths
user11716,Digit DP;Distance Between Points;Tree DP;geometry;shortest paths;trees,6,geometry;shortest paths;Distance Between Points;Tree DP;Digit DP,1D DP;Tree DFS;data structures;dp;graphs;math
user11717,data structures;divide and conquer;probabilities;two pointers,4,two pointers;divide and conquer;probabilities;data structures;Hash Map,combinatorics;dp;graphs
user1172,,0,shortest paths;BFS;graphs;Graph Representation;trees,
user11721,Distance Between Points;Hash Map;Line Intersection;geometry,4,geometry;Distance Between Points;Line Intersection;Hash Map;Max Flow,Orientation Test;data structures;math
user11731,two pointers,1,two pointers;graph matchings;Max Flow;Distance Between Points;flows,data structures
user11732,DFS;Hash Map;geometry,3,DFS;geometry;Hash Map;Line Intersection;Polygon Area,Graph Representation;data structures
user11735,Binary Search on Answer;flows;shortest paths;ternary search,4,ternary search;shortest paths;flows;Binary Search on Answer;Sliding Window,Binary Search on Array;graphs
user11737,geometry,1,geometry;Polygon Area;hashing;String Matching;DFS,
user11745,Bitmask Enumeration;chinese remainder theorem;games;interactive;shortest paths,5,chinese remainder theorem;Bitmask Enumeration;interactive;games;shortest paths,Modular Arithmetic;Modular Inverse;Simulation;combinatorics;graphs;math
user11750,Binary Lifting;Knapsack;Tree DP;brute force;divide and conquer;dp;trees,7,Tree DP;brute force;trees;Binary Lifting;Knapsack,2D DP;Recursion;Sparse Table;Tree DFS;data structures;graphs;implementation;math
